key,pharmacy,category,categoryName,categoryWhy,rawName,discriminator,ingredients,negatedComponents,declaredComponentCount,isAssociation,isComplete,concentrationKind,dosageForm,route,pharmaceuticalUnit,conceptOutcome,unknownAxes,mintableIfIngredientKnown,queries,url
ecofarmacias|https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchkey=ambroxol%7c100ml&url=https%3a%2f%2fwww.ecofarmacias.cl%2fproducto%2fjarabe-ambroxol-clorhidrato-30mg5ml-100ml-hospifarma-descuento%2f&cfmid=cfm-000068,ecofarmacias,E,CONCENTRATION_MASS_ONLY_ON_NON_DISCRETE_FORM,"masa absoluta en forma liquido-oral, no es concentración completa",Jarabe Ambroxol clorhidrato 30mg5ml 100ml (Hospifarma) DESCUENTO,,ambroxol,,1,false,true,mass-only,liquido-oral,oral,,unresolved,unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Fjarabe-ambroxol-clorhidrato-30mg5ml-100ml-hospifarma-descuento%2F&cfmId=CFM-000068
easyfarma|https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchkey=amrodil%7c100ml&url=https%3a%2f%2fnuevo.easyfarma.cl%2f105664-amrodil-30-mg-5ml-100-ml.html&cfmid=cfm-014924,easyfarma,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Amrodil 30 Mg/5ml 100 Ml,amrodil,,,0,false,false,ratio,,,,unresolved,ing+form+route+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=amrodil%7C100ml&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F105664-amrodil-30-mg-5ml-100-ml.html&cfmId=CFM-014924
ahumada|https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchkey=tocalm%7c100ml%7c100&url=https%3a%2f%2fwww.farmaciasahumada.cl%2ftocalm-adulto-30-mg-5-ml-x-100-ml-jarabe-47395.html&cfmid=cfm-001435,ahumada,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Tocalm Adulto 30 mg/5 mL x 100 mL Jarabe,tocalm,,,0,false,false,ratio,liquido-oral,oral,,unresolved,ing+unit,true,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=tocalm%7C100ml%7C100&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Ftocalm-adulto-30-mg-5-ml-x-100-ml-jarabe-47395.html&cfmId=CFM-001435
farmex|https://comparafarma-api.vercel.app/api/go?slug=farmex&matchkey=broncot%7c120ml%7c120&url=https%3a%2f%2ffarmex.cl%2fproducts%2fbroncot-forte-g-t-f-jarabe-30-mg-5ml%3f_pos%3d4%26_psq%3dambroxol%26_psid%3db91d4d71c%26_ss%3de&cfmid=cfm-001432,farmex,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Broncot Forte G.T.F. Jarabe 30 mg / 5 mL x 120 mL,broncot,,,0,false,false,ratio,liquido-oral,oral,,unresolved,ing+unit,true,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=farmex&matchKey=broncot%7C120ml%7C120&url=https%3A%2F%2Ffarmex.cl%2Fproducts%2Fbroncot-forte-g-t-f-jarabe-30-mg-5ml%3F_pos%3D4%26_psq%3Dambroxol%26_psid%3Db91d4d71c%26_ss%3De&cfmId=CFM-001432
ahumada|https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchkey=broncot%7c120ml&url=https%3a%2f%2fwww.farmaciasahumada.cl%2fbroncot-fte-g.f.t.-s-azu.-30mg-5ml-120ml-50483.html&cfmid=cfm-001431,ahumada,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Broncot Fte G.F.T. S/Azu. 30mg/5ml 120ml,broncot,,,0,false,false,ratio,,,,unresolved,ing+form+route+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=broncot%7C120ml&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fbroncot-fte-g.f.t.-s-azu.-30mg-5ml-120ml-50483.html&cfmId=CFM-001431
easyfarma|https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchkey=muxol&url=https%3a%2f%2fnuevo.easyfarma.cl%2f25414-muxol-adulto-jarabe-x-100ml.html&cfmid=cfm-001440,easyfarma,H,TRUNCATED_SOURCE_NAME,la fuente entregó el nombre cortado,Muxol Adulto Jarabe...,muxol,,,0,false,false,absent,liquido-oral,oral,,unresolved,ing+conc+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=muxol&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F25414-muxol-adulto-jarabe-x-100ml.html&cfmId=CFM-001440
easyfarma|https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchkey=muxol&url=https%3a%2f%2fnuevo.easyfarma.cl%2f25413-muxol-pediatrico-jarabe-x-100ml.html&cfmid=cfm-001440,easyfarma,H,TRUNCATED_SOURCE_NAME,la fuente entregó el nombre cortado,Muxol Pediatrico Jarabe x...,muxol,,,0,false,false,absent,liquido-oral,oral,,unresolved,ing+conc+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=muxol&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F25413-muxol-pediatrico-jarabe-x-100ml.html&cfmId=CFM-001440
easyfarma|https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchkey=broncot&url=https%3a%2f%2fnuevo.easyfarma.cl%2f24773-broncot-gft-jarabe.html&cfmid=cfm-001434,easyfarma,H,TRUNCATED_SOURCE_NAME,la fuente entregó el nombre cortado,Broncot Pediatrico GFT...,broncot,,,0,false,false,absent,,,,unresolved,ing+conc+form+route+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=easyfarma&matchKey=broncot&url=https%3A%2F%2Fnuevo.easyfarma.cl%2F24773-broncot-gft-jarabe.html&cfmId=CFM-001434
ecofarmacias|https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchkey=ambroxol%7c100ml&url=https%3a%2f%2fwww.ecofarmacias.cl%2fproducto%2fambroxol-infantil-100ml%2f&cfmid=cfm-000068,ecofarmacias,G,AMBIGUOUS_AGAINST_REGISTRY,"más de un concepto candidato en el registro, sin desempate",Ambroxol Infantil 100ml (Andromaco),,ambroxol,,1,false,true,absent,,,,ambiguous,conc+form+route+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Fambroxol-infantil-100ml%2F&cfmId=CFM-000068
farmex|https://comparafarma-api.vercel.app/api/go?slug=farmex&matchkey=mintamox%7c100ml%7c100&url=https%3a%2f%2ffarmex.cl%2fproducts%2fmintamox-15-mg-5-ml-x-100-ml%3f_pos%3d3%26_psq%3dambroxol%26_psid%3db91d4d71c%26_ss%3de&cfmid=cfm-014930,farmex,C,BRAND_ONLY_NAME_NO_MOLECULE_IN_TEXT,"el nombre solo trae cabecera comercial, ninguna molécula escrita",Mintamox 15 mg / 5 mL x 100 mL,mintamox,,,0,false,false,ratio,,,,unresolved,ing+form+route+unit,false,ambroxol+ambroxol 30mg+ambroxol 30mg/5ml+ambroxol 30mg/5ml jarabe 100ml,https://comparafarma-api.vercel.app/api/go?slug=farmex&matchKey=mintamox%7C100ml%7C100&url=https%3A%2F%2Ffarmex.cl%2Fproducts%2Fmintamox-15-mg-5-ml-x-100-ml%3F_pos%3D3%26_psq%3Dambroxol%26_psid%3Db91d4d71c%26_ss%3De&cfmId=CFM-014930
