token,verdict,rationale,riskClass,source1CfData001,source2Separator,source3ProjectVocabulary,source4Isp,alreadyInVocabulary,distinctHeads,distinctPharmaciesPreDose,offersPreDose,corpusObservations,corpusPharmacies,sampleName
paracetamol,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,true,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,15,7,64,126,8,dr-simi: Tapsin Duo paracetamol 300 mg ibuprofeno 200 mg 12 comprimidos recubiertos
amoxicilina,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,true,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,9,7,47,110,8,sermecoop: Amoval (amoxicilina) 500mg 21 Comprimidos
diclofenaco,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,true,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,7,4,19,101,8,ecofarmacias: Dolo Merpal Diclofenaco 50 mg x 20 Capsulas Capsulas con Microgranulos (Prater)
ibuprofeno,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,true,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,10,6,41,92,8,cruz-verde: Pyriped Ibuprofeno 400Mg 10 Cápsulas Blandas
losartan,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,true,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,7,3,18,51,8,cruz-verde: Lopren Losartan Potasico 50 mg 30 Comprimidos Recubiertos
cetirizina,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,true,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,7,4,27,48,8,farmex: Cetirex Cetirizina 10 Mg 30 Comprimidos Recubiertos
clavulanico,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,true,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,2,3,5,35,6,farmex: Amoxicilina + Ácido Clavulánico 500 mg / 125 mg x 20 comprimidos
ambroxol,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario,,true,true,false,"not-used (ADR-0005 en revisión, issue #157)",true,5,7,16,30,8,ecofarmacias: Pazbronq Ambroxol Clorhidrato 30 Mg/ 5 Ml Jarabe 100 Ml
omeprazol,APPROVE,sostenido por (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,false,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,1,2,2,24,7,salcobrand: Lomex (B) Omeprazol 20mg 28 Capsulas Prolongadas
levocetirizina,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario,,true,true,false,"not-used (ADR-0005 en revisión, issue #157)",true,3,2,5,20,3,dr-simi: Levorigotax levocetirizina 5 mg 30 comprimidos recubiertos
hidroclorotiazida,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,true,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,2,4,5,16,7,farmex: Losartan Potásico + Hidroclorotiazida 50 mg / 12.5 mg x 30 comprimidos
esomeprazol,APPROVE,sostenido por (3) vocabulario validado del proyecto,,false,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,0,0,0,11,4,
pseudoefedrina,APPROVE,sostenido por (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,false,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,1,2,3,9,4,salcobrand: Rigotax-D Cetirizina / Pseudoefedrina 5mg/120mg 10 Cápsulas Prolongadas
cafeina,APPROVE,sostenido por (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,false,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,1,2,2,8,5,farmex: Tapsin Puro Sin Cafeina 500 mg x 24 comprimidos
colestiramina,APPROVE,sostenido por (1) regla CF-DATA-001 + (2) separador explícito / ya en vocabulario,,true,true,false,"not-used (ADR-0005 en revisión, issue #157)",true,2,2,4,4,2,cruz-verde: Promerpal Diclofenaco Colestiramina 140 mg 10 Cápsulas
naproxeno,APPROVE,sostenido por (2) separador explícito / ya en vocabulario + (3) vocabulario validado del proyecto,,false,true,true,"not-used (ADR-0005 en revisión, issue #157)",true,1,1,1,1,1,dr-simi: Flectane naproxeno 500 mg esomeprazol 20 mg 30 comprimidos con recubrimiento entérico
actron,REJECT,clase de riesgo: MARCA o variante comercial,brand,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,18,6,salcobrand: Ibuprofeno Actron  200 mg RA (R) 10 Cápsulas Blandas
diclorhidrato,REJECT,"clase de riesgo: SAL, ion o calificador químico",salt,true,true,false,"not-used (ADR-0005 en revisión, issue #157)",true,4,3,8,11,4,ecofarmacias: Cetirizina Diclorhidrato 10 mg x 30 Comp. Recubiertos
gesidol,REJECT,clase de riesgo: MARCA o variante comercial,brand,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,8,3,ecofarmacias: Paracetamol Gesidol 1gr x 20 Comprimidos
ninos,REJECT,clase de riesgo: RÉGIMEN posológico o indicación,regimen,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,2,7,4,ahumada: Panadol Niños 100mg/Ml Gotas 15ml
advance,REJECT,clase de riesgo: MARCA o variante comercial,brand,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,2,4,2,ahumada: Panadol Advance 500mg x 12 Comprimidos
resinato,REJECT,"clase de riesgo: SAL, ion o calificador químico",salt,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,3,2,salcobrand: Merpal Diclofenaco Resinato 15mg/5ml Oral Gotas 20ml
retard,REJECT,"clase de riesgo: DESCRIPTOR de forma, envase, vía o fabricación",descriptor,true,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,2,2,2,3,3,ecofarmacias: Diclofenaco Retard 100 mg x 8 cápsulas Opko
clauvulancio,REJECT,clase de riesgo: ERRATA de escritura de la farmacia,typo,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,1,1,ecofarmacias: Synulox (Amoxicilina 200mg-Ácido clauvuláncio 50mg) **Uso Veterinario**
efervecente,REJECT,"clase de riesgo: DESCRIPTOR de forma, envase, vía o fabricación",descriptor,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,1,1,farmex: Tapsin Efervecente 1 g x 20 sobres
ellipta,REJECT,clase de riesgo: MARCA o variante comercial,brand,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,1,1,cruz-verde: Trelegy Ellipta 92 mcg Polvo Para Inhalacion Oral 30 Dosis
epolamina,REJECT,"clase de riesgo: SAL, ion o calificador químico",salt,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,1,1,cruz-verde: Flector Diclofenaco Epolamina 50 mg 10 Sobres
oftalmologica,REJECT,"clase de riesgo: DESCRIPTOR de forma, envase, vía o fabricación",descriptor,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,1,1,"ecofarmacias: Oftic Gotas Diclofenaco Sodico 0,1% Solución Oftalmológica  25ml"
potsico,REJECT,"clase de riesgo: SAL, ion o calificador químico",salt,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,1,1,easyfarma: Losartan Potsico 50 mg x 30...
pseudofedrina,REJECT,clase de riesgo: ERRATA de escritura de la farmacia,typo,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,1,1,"ecofarmacias: Ipson-D Ibuprofeno Pseudofedrina Clorhidrato 100 mg &#8211; 15 mg / 5 ml 120 Ml"
triterapia,REJECT,clase de riesgo: RÉGIMEN posológico o indicación,regimen,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,1,1,ahumada: Zomel HP Triterapia 1 g/500 mg/20 mg 14 Blister
bromhexina,REVIEW,ninguna fuente admitida lo sostiene: requiere dato externo,,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,0,0,0,1,1,
colecalciferol,REVIEW,ninguna fuente admitida lo sostiene: requiere dato externo,,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,0,0,0,1,1,
dutasteride,REVIEW,ninguna fuente admitida lo sostiene: requiere dato externo,,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,0,0,0,1,1,
flurbiprofeno,REVIEW,ninguna fuente admitida lo sostiene: requiere dato externo,,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,0,0,0,1,1,
fosfomicina,REVIEW,ninguna fuente admitida lo sostiene: requiere dato externo,,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,1,1,cruz-verde: Uroplus Fosfomicina 3 gr Granulos para Solucion Oral 1 Sobre
pamabrom,REVIEW,ninguna fuente admitida lo sostiene: requiere dato externo,,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,1,1,1,1,1,cruz-verde: Tapsin Periodo Pamabrom 25 mg 12 Comprimidos
tamsulosina,REVIEW,ninguna fuente admitida lo sostiene: requiere dato externo,,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,0,0,0,1,1,
tibolona,REVIEW,ninguna fuente admitida lo sostiene: requiere dato externo,,false,false,false,"not-used (ADR-0005 en revisión, issue #157)",false,0,0,0,1,1,
