query,pharmacy,rawName,legacyMatchKey,legacyPresentationKey,v1CardKey,provisionalConceptKey,provisionalPresentationKey,provisionalProductKey,provisionalOfferKey,activeIngredients,ingredientEvidence,concentration,concentrationKind,dosageForm,route,packageQuantity,packageVolume,packageType,brand,commercialVariant,administrationTime,manufacturer,ispRegistration,conceptResolution,conceptConfidence,presentationResolution,productResolution,canonicalName
ambroxol 30mg/5ml,araucomed,Ambroxol 30mg/5ml jarabe adulto 100 ml. (Ascend),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:ascend|form:fluid-oral,ambroxol-30mg-5ml#0,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-1zu0fbqa1qvpy2hra5shxt2l6,PROV-O-8uiprgeomfw7hvf9lm46tanjp,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,,,,Ascend,,isolated,low,isolated,isolated,ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100ml (Andromaco),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:andromaco|form:fluid-oral,ambroxol-30mg-5ml#1,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-ceozhm7sftlejyz5jabs8buxe,PROV-O-36yk3zqrl40difeshi9vlcb90,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,,,,Andrómaco,,isolated,low,isolated,isolated,ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,ecofarmacias,Jarabe Ambroxol clorhidrato 30mg5ml 100ml (Hospifarma) DESCUENTO,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,ambroxol-30mg-5ml#2,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-607mf03zfd6w8t39syzf2a5ui,PROV-O-37cazkyhhvmsldwpbneu1b3wl,ambroxol,vocabulary,conc:mass:30mg,mass-only,,oral,,100ml,,,,,,,subsumed,medium,isolated,isolated,ambroxol 30 mg liquido-oral 100 ml
ambroxol 30mg/5ml,sermecoop,Ambroxol 30mg/5ml Jarabe 100ml,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,ambroxol-30mg-5ml#2,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-607mf03zfd6w8t39syzf2a5ui,PROV-O-2tgs4wbaqjxc1o03cqferyqfn,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,,,,,,isolated,low,isolated,isolated,ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,ahumada,Ambroxol 30mg./5ml. Jarabe Fco. 100ml,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,ambroxol-30mg-5ml#2,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-607mf03zfd6w8t39syzf2a5ui,PROV-O-elg8rcer9t0n5jfzoc5twc3df,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,frasco,,,,,,isolated,low,isolated,isolated,ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100ml (Seven Pharma),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:sevenpharma|form:fluid-oral,ambroxol-30mg-5ml#3,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-9twd69cnlt7tp7mxd31reahyg,PROV-O-9kd9z7xe0yo74v0kbwj59r6qz,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,,,,Seven Pharma,,isolated,low,isolated,isolated,ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,araucomed,Ambroxol 30mg/5ml Jarabe Adulto x 100 ml. (Hospifarma),ambroxol|100ml|100,ambroxol|100ml|100|bio:unknown|brand:hospifarma|form:fluid-oral,ambroxol-30mg-5ml#4,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-9ftzvko7l4kf1z9g2i245hkgw,PROV-O-67lm26mgc3xy00teefcnuzzj8,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,,,,Hospifarma,,isolated,low,isolated,isolated,ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100 ml. (Mintlab),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:mintlab|form:fluid-oral,ambroxol-30mg-5ml#5,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-cpleryjmnap19hgqnipmbyaf1,PROV-O-e0yjjv9lgybxeu6q84sckvqi2,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,,,,Mintlab,,isolated,low,isolated,isolated,ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100ml (Opko),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:opko|form:fluid-oral,ambroxol-30mg-5ml#6,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-04s4z1mz66mbicfyze8el6xev,PROV-O-e41cybj7e4c5wm5dvh0lrt82k,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,,,,Opko,,isolated,low,isolated,isolated,ambroxol 30 mg/5 ml liquido-oral 100 ml
ambroxol 30mg/5ml,ecofarmacias,Pazbronq Ambroxol Clorhidrato 30 Mg/ 5 Ml Jarabe 100 Ml,pazbronq|100ml,pazbronq|100ml|bio:unknown|brand:unknown|var:ambroxol|form:fluid-oral,ambroxol-30mg-5ml#9,PROV-C-4m1ctryale2owt01jzkwox298,PROV-P-5ql1fhhoiwvtwkxs32ormwmkv,PROV-M-0tiisj3qimg3hcfflsuowqbn4,PROV-O-32k1gh2hkgpcnb64eecgg659o,ambroxol,vocabulary,conc:ratio:6mg/ml,ratio,,oral,,100ml,,Pazbronq,,,,,isolated,low,isolated,isolated,Pazbronq ambroxol 30 mg/5 ml liquido-oral 100 ml
