query,queryId,retrievalQuery,queryConcentration,queryQuantity,queryDosageForm,cardIndex,cardRank,pharmacy,upstreamName,canonicalName,cardMatchKey,cardPresentationKey,offerMatchKey,offerCombinationKey,offerVariantKey,offerDosageForm,offerUnitCount,offerConcentration,offerConcentrationLevel,offerParsedFirstMagnitude,brand,manufacturer,activeIngredient,brandSource,laboratory,isBioequivalent,lexicalMatch,concentrationMatch,cfmId,effective,hasStock,onlineUrl,offersInCard
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,0,1,araucomed,Ambroxol 30mg/5ml jarabe adulto 100 ml. (Ascend),Ambroxol 30mg/5ml jarabe adulto 100 ml. (Ascend),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:ascend|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,Ascend,ambroxol,unknown,Ascend,,exact,exact,CFM-000068,790,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fambroxol-30mg-5ml-jarabe-adulto-100-ml-ascend&cfmId=CFM-000068,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,1,2,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100ml (Andromaco),Ambroxol 30mg/5ml Jarabe Adulto 100ml (Andromaco),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:andromaco|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,Andrómaco,ambroxol,unknown,Andrómaco,,exact,exact,CFM-000068,800,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fambroxol-30mg-5ml-jarabe-100ml-andromaco&cfmId=CFM-000068,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,2,3,ecofarmacias,Jarabe Ambroxol clorhidrato 30mg5ml 100ml (Hospifarma) DESCUENTO,Ambroxol 30mg/5ml Jarabe 100ml,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,30mg,absolute,30mg,,,ambroxol,unknown,,,exact,exact,CFM-000068,990,false,https://comparafarma-api.vercel.app/api/go?slug=ecofarmacias&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Fwww.ecofarmacias.cl%2Fproducto%2Fjarabe-ambroxol-clorhidrato-30mg5ml-100ml-hospifarma-descuento%2F&cfmId=CFM-000068,3
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,2,3,sermecoop,Ambroxol 30mg/5ml Jarabe 100ml,Ambroxol 30mg/5ml Jarabe 100ml,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,,ambroxol,unknown,,,exact,exact,CFM-000068,2390,false,https://comparafarma-api.vercel.app/api/go?slug=sermecoop&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Fwww.farmaciasermecoop.cl%2Findex.php%2Fonline%2Fdetalleproducto%3Fp_%3D1602%26d_%3D1&cfmId=CFM-000068,3
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,2,3,ahumada,Ambroxol 30mg./5ml. Jarabe Fco. 100ml,Ambroxol 30mg/5ml Jarabe 100ml,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,,ambroxol,unknown,,,exact,exact,CFM-000068,3544,true,https://comparafarma-api.vercel.app/api/go?slug=ahumada&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Fwww.farmaciasahumada.cl%2Fambroxol-30mg.-5ml.-jarabe-fco.-100ml-84384.html&cfmId=CFM-000068,3
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,3,4,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100ml (Seven Pharma),Ambroxol 30mg/5ml Jarabe Adulto 100ml (Seven Pharma),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:sevenpharma|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,Seven Pharma,ambroxol,unknown,Seven Pharma,,exact,exact,CFM-000068,1200,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fambroxol-30mg-5ml-jarabe-adulto-100ml-seven-pharma&cfmId=CFM-000068,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,4,5,araucomed,Ambroxol 30mg/5ml Jarabe Adulto x 100 ml. (Hospifarma),Ambroxol 30mg/5ml Jarabe Adulto x 100 ml. (Hospifarma),ambroxol|100ml|100,ambroxol|100ml|100|bio:unknown|brand:hospifarma|form:fluid-oral,ambroxol|100ml|100,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,Hospifarma,ambroxol,unknown,Hospifarma,,exact,exact,CFM-000816,1490,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=ambroxol%7C100ml%7C100&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fambroxol-30mg-5ml-jarabe-120-ml-hospifarma&cfmId=CFM-000816,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,5,6,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100 ml. (Mintlab),Ambroxol 30mg/5ml Jarabe Adulto 100 ml. (Mintlab),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:mintlab|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,Mintlab,ambroxol,unknown,Mintlab,,exact,exact,CFM-000068,1990,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fambroxol-30mg-5ml-jarabe-100ml-mintlab&cfmId=CFM-000068,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,6,7,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100ml (Opko),Ambroxol 30mg/5ml Jarabe Adulto 100ml (Opko),ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:opko|form:fluid-oral,ambroxol|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,Opko,ambroxol,unknown,Opko,,exact,exact,CFM-000068,1990,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=ambroxol%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fambroxol-30mg-5ml-jarabe-100ml-opko&cfmId=CFM-000068,1
ambroxol 30mg/5ml,ambroxol-30mg-5ml,ambroxol,30mg/5ml,,,7,8,araucomed,Mintamox Adulto 30mg/5ml jarabe 100ml,Mintamox Adulto 30mg/5ml jarabe 100ml,mintamox|100ml,mintamox|100ml|bio:unknown|brand:mintlab|form:fluid-oral,mintamox|100ml,,,fluid-oral,,30mg/5ml,ratio,30mg/5ml,,Mintlab,,unknown,Mintlab,,compatible,exact,CFM-001436,2490,false,https://comparafarma-api.vercel.app/api/go?slug=araucomed&matchKey=mintamox%7C100ml&url=https%3A%2F%2Ffarmacia.araucomed.com%2Fmucoliticos-y-expectorantes%2Fmintamox-adulto-30mg-5ml-jarabe-100ml&cfmId=CFM-001436,1
