query,pharmacy,rawProductName,displayProductName,laboratory,activeIngredient,strength,quantity,unitCountKey,commercialVariantKey,dosageFormClass,combinationKey,matchKey,presentationKey,price,channel,stock,onlineUrl
ambroxol,araucomed,Tocalm Infantil 15mg/5ml jarabe 100 ml.,Tocalm Infantil 15mg/5ml jarabe 100 ml.,null,tocalm,15mg,null,null,infantil,fluid-oral,null,tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,790,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/tocalm-infantil-15mg-5ml-jarabe-100ml
ambroxol,cruz-verde,Tocalm Pediatrico Ambroxol 15 mg/5mL Jarabe 100 mL,Tocalm Infantil 15mg/5ml jarabe 100 ml.,null,tocalm,15mg,null,null,infantil,fluid-oral,null,tocalm|100ml,tocalm|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,4290,store,true,https://www.cruzverde.cl/tocalm-pediatrico-ambroxol-15-mg-5ml-jarabe-100-ml/111094.html
ambroxol,araucomed,Ambroxol 30mg/5ml jarabe adulto 100 ml. (Ascend),Ambroxol 30mg/5ml jarabe adulto 100 ml. (Ascend),Ascend,ambroxol,30mg,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:ascend|form:fluid-oral,790,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/ambroxol-30mg-5ml-jarabe-adulto-100-ml-ascend
ambroxol,araucomed,Ambroxol 30mg/5ml Jarabe Adulto 100ml (Andromaco),Ambroxol 30mg/5ml Jarabe Adulto 100ml (Andromaco),Andrómaco,ambroxol,30mg,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:andromaco|form:fluid-oral,800,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/ambroxol-30mg-5ml-jarabe-100ml-andromaco
ambroxol,araucomed,Ambroxol 15mg/5ml jarabe 100ml (Eurofarma),Ambroxol 15mg/5ml jarabe 100ml (Eurofarma),Eurofarma,ambroxol,15mg,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:eurofarma|form:fluid-oral,900,store,false,https://farmacia.araucomed.com/mucoliticos-y-expectorantes/ambroxol-15mg-5ml-jarabe-100ml-eurofarma
ambroxol,ecofarmacias,Jarabe Ambroxol clorhidrato 30mg5ml 100ml (Hospifarma) DESCUENTO,Ambroxol 30mg/5ml Jarabe 100ml,null,ambroxol,100ml,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,990,store,false,https://www.ecofarmacias.cl/producto/jarabe-ambroxol-clorhidrato-30mg5ml-100ml-hospifarma-descuento/
ambroxol,sermecoop,Ambroxol 30mg/5ml Jarabe 100ml,Ambroxol 30mg/5ml Jarabe 100ml,null,ambroxol,30mg,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,2390,store,false,https://www.farmaciasermecoop.cl/index.php/online/detalleproducto?p_=1602&d_=1
ambroxol,ahumada,Ambroxol 30mg./5ml. Jarabe Fco. 100ml,Ambroxol 30mg/5ml Jarabe 100ml,null,ambroxol,30mg,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,3374,cmr,true,https://www.farmaciasahumada.cl/ambroxol-30mg.-5ml.-jarabe-fco.-100ml-84384.html
ambroxol,cruz-verde,Ambroxol 15 mg/5mL Jarabe 100 mL,Ambroxol 30mg/5ml Jarabe 100ml,null,ambroxol,15mg,null,null,null,fluid-oral,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,5490,store,true,https://www.cruzverde.cl/ambroxol-15-mg-5ml-jarabe-100-ml/2224.html
ambroxol,ecofarmacias,Ambroxol clorhidrato 30mg 100ml Ascend DESCUENTO,Ambroxol clorhidrato 30mg 100ml Ascend DESCUENTO,null,ambroxol,30mg,null,null,null,null,null,ambroxol|100ml,ambroxol|100ml|bio:unknown|brand:unknown,1100,store,false,https://www.ecofarmacias.cl/producto/ambroxol-clorhidrato-30mg-100ml-ascend-descuento/
