classification,query,generatedURL,sourcePresentationKey,resolvedPresentationKey,resolverSearchQuery
RESOLVED_EXACT,tapsin,/medicamento/tapsin-forte-tira-x-6com-1u7l8dyqv42t,tapsin|6|bio:unknown|brand:maver|var:forte|form:solid-oral,tapsin|6|bio:unknown|brand:maver|var:forte|form:solid-oral,"tapsin forte tira x 6com"
NOT_FOUND,tapsin,/medicamento/tapsin-x-6-comprimidos-noche-maver-3a14ey6g56zgt,tapsin|n|6|bio:unknown|brand:unknown|form:solid-oral,,"tapsin x 6 comprimidos noche maver"
NOT_FOUND,tapsin,/medicamento/tapsin-x-6-comprimidos-maver-jfz5p0p85x6n,tapsin|6|bio:unknown|brand:unknown|form:solid-oral,,"tapsin x 6 comprimidos maver"
NOT_FOUND,tapsin,/medicamento/tapsin-forte-x-6-comprimidos-recubiertos-2tz36rk5hze2s,tapsin|6|bio:unknown|brand:unknown|var:forte|form:solid-oral,,"tapsin forte x 6 comprimidos recubiertos"
RESOLVED_EXACT,tapsin,/medicamento/tapsin-periodo-x30com-3jcmwvvie7ady,tapsin|30|bio:unknown|brand:maver|var:periodo|form:solid-oral,tapsin|30|bio:unknown|brand:maver|var:periodo|form:solid-oral,"tapsin periodo x30com"
RESOLVED_EXACT,tapsin,/medicamento/tapsin-limonada-dia-x5g-1mo7oeof5avuk,tapsin|5000mg|d|5|bio:unknown|brand:maver|var:limonada,tapsin|5000mg|d|5|bio:unknown|brand:maver|var:limonada,"tapsin limonada dia x5g"
RESOLVED_EXACT,tapsin,/medicamento/tapsin-plus-caliente-dia-limonada-antigripal-x-5-gramos-u97c37f6fpqu,tapsin|d|5|bio:unknown|brand:maver|var:plus,tapsin|d|5|bio:unknown|brand:maver|var:plus,"tapsin plus caliente dia limonada antigripal x 5 gramos"
RESOLVED_EXACT,tapsin,/medicamento/tapsin-plus-limonada-noche-x5g-xeuvptn7baz7,tapsin|5000mg|n|5|bio:unknown|brand:maver|var:plus,tapsin|5000mg|n|5|bio:unknown|brand:maver|var:plus,"tapsin plus limonada noche x5g"
AMBIGUOUS,ambroxol,/medicamento/ambroxol-30mg-5ml-jarabe-100ml-368kw3kmwe8r5,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,,"ambroxol 30mg 5ml jarabe 100ml"
AMBIGUOUS,ambroxol,/medicamento/ambroxol-15-mg-5ml-jarabe-100-ml-368kw3kmwe8r5,ambroxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,,"ambroxol 15 mg 5ml jarabe 100 ml"
RESOLVED_EXACT,ambroxol,/medicamento/muxol-adulto-30mg-5ml-jarabe-100ml-ouqw7x1crum0,muxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,muxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,"muxol adulto 30mg 5ml jarabe 100ml"
RESOLVED_EXACT,ambroxol,/medicamento/muxol-ambroxol-15mg-5ml-jarabe-100ml-ouqw7x1crum0,muxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,muxol|100ml|bio:unknown|brand:unknown|form:fluid-oral,"muxol ambroxol 15mg 5ml jarabe 100ml"
RESOLVED_EXACT,ambroxol,/medicamento/tocalm-infantil-15mg-5ml-jarabe-100-ml-2i7n8kpu9ov4x,tocalm|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,tocalm|100ml|bio:unknown|brand:unknown|var:infantil|form:fluid-oral,"tocalm infantil 15mg 5ml jarabe 100 ml"
RESOLVED_EXACT,ambroxol,/medicamento/ambroxol-30mg-5ml-jarabe-adulto-100-ml-ascend-3mqgnluijnzbx,ambroxol|100ml|bio:unknown|brand:ascend|form:fluid-oral,ambroxol|100ml|bio:unknown|brand:ascend|form:fluid-oral,"ambroxol 30mg 5ml jarabe adulto 100 ml ascend"
RESOLVED_EXACT,ambroxol,/medicamento/ambroxol-30mg-5ml-jarabe-adulto-100ml-andromaco-2hv956i1zu4np,ambroxol|100ml|bio:unknown|brand:andromaco|form:fluid-oral,ambroxol|100ml|bio:unknown|brand:andromaco|form:fluid-oral,"ambroxol 30mg 5ml jarabe adulto 100ml andromaco"
RESOLVED_EXACT,ambroxol,/medicamento/ambroxol-15mg-5ml-jarabe-100ml-eurofarma-2jl2o7cp50jkf,ambroxol|100ml|bio:unknown|brand:eurofarma|form:fluid-oral,ambroxol|100ml|bio:unknown|brand:eurofarma|form:fluid-oral,"ambroxol 15mg 5ml jarabe 100ml eurofarma"
AMBIGUOUS,ibuprofeno,/medicamento/ibuprofeno-200mg-5ml-jarabe-100ml-m4nvlyflclg,ibuprofeno|100ml|bio:unknown|brand:unknown|form:fluid-oral,,"ibuprofeno 200mg 5ml jarabe 100ml"
AMBIGUOUS,ibuprofeno,/medicamento/ibuprofeno-100-mg-5ml-suspension-100-ml-m4nvlyflclg,ibuprofeno|100ml|bio:unknown|brand:unknown|form:fluid-oral,,"ibuprofeno 100 mg 5ml suspension 100 ml"
AMBIGUOUS,ibuprofeno,/medicamento/pyriped-ibuprofeno-100mg-5ml-jarabe-100ml-3c0qa7pxe6dpm,pyriped|100ml|bio:unknown|brand:unknown|form:fluid-oral,,"pyriped ibuprofeno 100mg 5ml jarabe 100ml"
AMBIGUOUS,ibuprofeno,/medicamento/pyriped-ibuprofeno-suspension-oral-200mg-5ml-100ml-3c0qa7pxe6dpm,pyriped|100ml|bio:unknown|brand:unknown|form:fluid-oral,,"pyriped ibuprofeno suspension oral 200mg 5ml 100ml"
RESOLVED_EXACT,ibuprofeno,/medicamento/ibuprofeno-b-400mg-20-comprimidos-jikmou816ztd,ibuprofeno|400mg|20|bio:unknown|brand:unknown|form:solid-oral,ibuprofeno|400mg|20|bio:unknown|brand:unknown|form:solid-oral,"ibuprofeno b 400mg 20 comprimidos"
RESOLVED_EXACT,ibuprofeno,/medicamento/ibuprofeno-400mg-20-comprimidos-ux99uorm4w5z,ibuprofeno|400mg|20|bio:true|brand:unknown|form:solid-oral,ibuprofeno|400mg|20|bio:true|brand:unknown|form:solid-oral,"ibuprofeno 400mg 20 comprimidos"
RESOLVED_EXACT,ibuprofeno,/medicamento/ibuprofeno-400-mg-20-comprimidos-jxkx67btyr39,ibuprofeno|400mg|20|bio:true|brand:teva|form:solid-oral,ibuprofeno|400mg|20|bio:true|brand:teva|form:solid-oral,"ibuprofeno 400 mg 20 comprimidos"
RESOLVED_EXACT,ibuprofeno,/medicamento/ibuprofeno-400-mg-x-20-comprimidos-chile-1j9s9xgccjjs6,ibuprofeno|400mg|20|bio:unknown|brand:chile|form:solid-oral,ibuprofeno|400mg|20|bio:unknown|brand:chile|form:solid-oral,"ibuprofeno 400 mg x 20 comprimidos chile"
RESOLVED_WRONG_PRODUCT,betametasona,/medicamento/cam-jarabe-betametasona-0-25-mg-120-ml-lab-chile-3ga6d51u692vz,cam|120ml|bio:unknown|brand:unknown|var:betametasona|form:fluid-oral,cam|120ml|bio:unknown|brand:unknown|var:betametasona|form:fluid-oral,"cam jarabe betametasona 0 25 mg 120 ml lab chile"
RESOLVED_EXACT,betametasona,/medicamento/cam-betametasona-2-mg-jarabe-120-ml-3ga6d51u692vz,cam|120ml|bio:unknown|brand:unknown|var:betametasona|form:fluid-oral,cam|120ml|bio:unknown|brand:unknown|var:betametasona|form:fluid-oral,"cam betametasona 2 mg jarabe 120 ml"
NOT_FOUND,betametasona,/medicamento/betametasona-4-mg-ml-solucion-inyectable-x-1-ampolla-biosano-144ewvkka39oo,betametasona|4mg|bio:unknown|brand:biosano|form:injectable,,"betametasona 4 mg ml solucion inyectable x 1 ampolla biosano"
RESOLVED_EXACT,betametasona,/medicamento/betamec-betametasona-0-05-crema-15-gr-2sujqpawgw2gk,betamec|bio:unknown|brand:unknown|var:betametasona|form:topical,betamec|bio:unknown|brand:unknown|var:betametasona|form:topical,"betamec betametasona 0 05 crema 15 gr"
NOT_FOUND,betametasona,/medicamento/betametasona-0-05-ung-uuml-ento-topico-pomo-15-g-chile-y6p4hcbo3ye8,betametasona|15000mg|bio:unknown|brand:unknown|var:uuml|form:topical,,"betametasona 0 05 ung uuml ento topico pomo 15 g chile"
RESOLVED_EXACT,betametasona,/medicamento/betametasona-0-05-crema-topica-15-g-1cbm1zs7kpzj6,betametasona|15000mg|bio:false|brand:opko|form:topical,betametasona|15000mg|bio:false|brand:opko|form:topical,"betametasona 0 05 crema topica 15 g"
RESOLVED_EXACT,betametasona,/medicamento/clotrimazol-betametasona-crema-dermica-x-15-g-opko-22rhq6qmay50g,clotrimazol|15000mg|15|bio:unknown|brand:unknown|combo:betametasona|form:topical,clotrimazol|15000mg|15|bio:unknown|brand:unknown|combo:betametasona|form:topical,"clotrimazol betametasona crema dermica x 15 g opko"
RESOLVED_EXACT,betametasona,/medicamento/clotrimazol-betametasona-crema-15g-60ebh7v9gdbo,clotrimazol|15000mg|bio:unknown|brand:unknown|combo:betametasona|form:topical,clotrimazol|15000mg|bio:unknown|brand:unknown|combo:betametasona|form:topical,"clotrimazol betametasona crema 15g"
RESOLVED_EXACT,diclofenaco,/medicamento/diclofenaco-sodico-50-mg-x-10-comprimidos-baden-26o63xhhny3xf,diclofenaco|50mg|10|bio:unknown|brand:unknown|form:solid-oral,diclofenaco|50mg|10|bio:unknown|brand:unknown|form:solid-oral,"diclofenaco sodico 50 mg x 10 comprimidos baden"
RESOLVED_EXACT,diclofenaco,/medicamento/diclofenaco-50-mg-x-10-comprimidos-opko-chile-s-a-1ccrx2s3vow2p,diclofenaco|50mg|10|bio:true|brand:unknown|form:solid-oral,diclofenaco|50mg|10|bio:true|brand:unknown|form:solid-oral,"diclofenaco 50 mg x 10 comprimidos opko chile s a"
RESOLVED_EXACT,diclofenaco,/medicamento/diclofenaco-50-mg-10-comprimidos-con-recubrimiento-enterico-2vpq54n83amlm,diclofenaco|50mg|10|bio:false|brand:andromaco|form:solid-oral,diclofenaco|50mg|10|bio:false|brand:andromaco|form:solid-oral,"diclofenaco 50 mg 10 comprimidos con recubrimiento enterico"
RESOLVED_EXACT,diclofenaco,/medicamento/diclofenaco-50-mg-x-10-3jqa27a0x1ofh,diclofenaco|50mg|10|bio:unknown|brand:unknown,diclofenaco|50mg|10|bio:unknown|brand:unknown,"diclofenaco 50 mg x 10"
RESOLVED_EXACT,diclofenaco,/medicamento/diclofenaco-sodico-50-mg-x-10-comprimidos-andromaco-35ykcwx006i17,diclofenaco|50mg|10|bio:unknown|brand:andromaco|form:solid-oral,diclofenaco|50mg|10|bio:unknown|brand:andromaco|form:solid-oral,"diclofenaco sodico 50 mg x 10 comprimidos andromaco"
RESOLVED_EXACT,diclofenaco,/medicamento/diclofenaco-sodico-100mg-x-8-comprimidos-curaespring-19ts7ozjxpc0u,diclofenaco|100mg|8|bio:unknown|brand:unknown|form:solid-oral,diclofenaco|100mg|8|bio:unknown|brand:unknown|form:solid-oral,"diclofenaco sodico 100mg x 8 comprimidos curaespring"
NOT_FOUND,diclofenaco,/medicamento/diclofenaco-retard-100-mg-x-8-capsulas-opko-1l4aourepmu3b,diclofenaco|100mg|8|bio:unknown|brand:unknown|var:retard|form:solid-oral,,"diclofenaco retard 100 mg x 8 capsulas opko"
RESOLVED_EXACT,diclofenaco,/medicamento/diclofenaco-100-mg-8-capsulas-con-granulos-recubiertos-de-liberacion-prolongada-2ca9r2ymd51af,diclofenaco|100mg|8|bio:false|brand:andromaco|form:solid-oral,diclofenaco|100mg|8|bio:false|brand:andromaco|form:solid-oral,"diclofenaco 100 mg 8 capsulas con granulos recubiertos de liberacion prolongada"
RESOLVED_EXACT,amoxicilina,/medicamento/amoxicilina-250-mg-5-ml-jarabe-x-60-ml-2mkpb9ahqp3r2,amoxicilina|60ml|60|bio:unknown|brand:unknown|form:fluid-oral,amoxicilina|60ml|60|bio:unknown|brand:unknown|form:fluid-oral,"amoxicilina 250 mg 5 ml jarabe x 60 ml"
RESOLVED_EXACT,amoxicilina,/medicamento/amoxicilina-250mg-5ml-jarabe-60ml-fc8vyaeihf5g,amoxicilina|60ml|bio:unknown|brand:unknown|form:fluid-oral,amoxicilina|60ml|bio:unknown|brand:unknown|form:fluid-oral,"amoxicilina 250mg 5ml jarabe 60ml"
RESOLVED_EXACT,amoxicilina,/medicamento/amoxicilina-250-mg-5-ml-polvo-para-suspension-oral-60-ml-35ksw53ai7wxr,amoxicilina|60ml|bio:false|brand:hospifarma|form:fluid-oral,amoxicilina|60ml|bio:false|brand:hospifarma|form:fluid-oral,"amoxicilina 250 mg 5 ml polvo para suspension oral 60 ml"
RESOLVED_EXACT,amoxicilina,/medicamento/amoxicilina-500-mg-x-21-capsulas-mintlab-3p3eyxbbgyfcb,amoxicilina|500mg|21|bio:unknown|brand:mintlab|form:solid-oral,amoxicilina|500mg|21|bio:unknown|brand:mintlab|form:solid-oral,"amoxicilina 500 mg x 21 capsulas mintlab"
RESOLVED_EXACT,amoxicilina,/medicamento/amoxicilina-750-mg-x-10-comprimidos-1xe4llngz6thm,amoxicilina|750mg|10|bio:unknown|brand:mintlab|form:solid-oral,amoxicilina|750mg|10|bio:unknown|brand:mintlab|form:solid-oral,"amoxicilina 750 mg x 10 comprimidos"
RESOLVED_EXACT,amoxicilina,/medicamento/amoxicilina-500-mg-5-ml-polvo-para-suspension-oral-60-ml-2nqprjtiwux1a,amoxicilina|60ml|bio:false|brand:opko|form:fluid-oral,amoxicilina|60ml|bio:false|brand:opko|form:fluid-oral,"amoxicilina 500 mg 5 ml polvo para suspension oral 60 ml"
RESOLVED_EXACT,amoxicilina,/medicamento/amoxicilina-500mg-21-comprimidos-2l909dg1e8bbm,amoxicilina|500mg|21|bio:true|brand:unknown|form:solid-oral,amoxicilina|500mg|21|bio:true|brand:unknown|form:solid-oral,"amoxicilina 500mg 21 comprimidos"
RESOLVED_EXACT,amoxicilina,/medicamento/amoxicilina-250-mg-5ml-60-1oeka752o36wr,amoxicilina|5ml|bio:unknown|brand:curaespring,amoxicilina|5ml|bio:unknown|brand:curaespring,"amoxicilina 250 mg 5ml 60"
RESOLVED_EXACT,paracetamol,/medicamento/paracetamol-500-mg-x-16-comprimidos-1bskdry9t8hpp,paracetamol|500mg|16|bio:true|brand:unknown|form:solid-oral,paracetamol|500mg|16|bio:true|brand:unknown|form:solid-oral,"paracetamol 500 mg x 16 comprimidos"
RESOLVED_EXACT,paracetamol,/medicamento/paracetamol-500-mg-16-comprimidos-3luv1igt6hw1t,paracetamol|500mg|16|bio:true|brand:andromaco|form:solid-oral,paracetamol|500mg|16|bio:true|brand:andromaco|form:solid-oral,"paracetamol 500 mg 16 comprimidos"
RESOLVED_EXACT,paracetamol,/medicamento/paracetamol-500-mg-x-16-comprimidos-2vztkp6f4lcvz,paracetamol|500mg|16|bio:unknown|brand:andromaco|form:solid-oral,paracetamol|500mg|16|bio:unknown|brand:andromaco|form:solid-oral,"paracetamol 500 mg x 16 comprimidos"
RESOLVED_EXACT,paracetamol,/medicamento/paracetamol-500-mg-x-16-comprimidos-chile-3aq15txkp1qg,paracetamol|500mg|16|bio:unknown|brand:chile|form:solid-oral,paracetamol|500mg|16|bio:unknown|brand:chile|form:solid-oral,"paracetamol 500 mg x 16 comprimidos chile"
RESOLVED_EXACT,paracetamol,/medicamento/paracetamol-infantil-80-mg-100-comprimidos-2nktkgxue9hty,paracetamol|80mg|100|bio:unknown|brand:unknown|var:infantil|form:solid-oral,paracetamol|80mg|100|bio:unknown|brand:unknown|var:infantil|form:solid-oral,"paracetamol infantil 80 mg 100 comprimidos"
RESOLVED_EXACT,paracetamol,/medicamento/kitadol-paracetamol-500mg-x-24-comp-lch-descuento-caja-arrugada-2ojskny3snhh5,kitadol|500mg|24|bio:unknown|brand:unknown|form:solid-oral,kitadol|500mg|24|bio:unknown|brand:unknown|form:solid-oral,"kitadol paracetamol 500mg x 24 comp lch descuento caja arrugada"
RESOLVED_EXACT,paracetamol,/medicamento/paracetamol-500-mg-16-comp-31nclj9je42b3,paracetamol|500mg|16|bio:unknown|brand:unknown|form:solid-oral,paracetamol|500mg|16|bio:unknown|brand:unknown|form:solid-oral,"paracetamol 500 mg 16 comp"
RESOLVED_EXACT,paracetamol,/medicamento/geniol-adulto-500-mg-x-20-comprimidos-xnkt2dfecflu,geniol|500mg|20|bio:unknown|brand:mintlab|form:solid-oral,geniol|500mg|20|bio:unknown|brand:mintlab|form:solid-oral,"geniol adulto 500 mg x 20 comprimidos"
RESOLVED_EXACT,losartan,/medicamento/losartan-50-mg-x-30-comprimidos-lch-descuento-3h6gtw9cq2s2k,losartan|50mg|30|bio:true|brand:unknown|form:solid-oral,losartan|50mg|30|bio:true|brand:unknown|form:solid-oral,"losartan 50 mg x 30 comprimidos lch descuento"
RESOLVED_EXACT,losartan,/medicamento/losartan-potasico-50-mg-x30com-hospifarma-35tl7noz4zjva,losartan|50mg|30|bio:unknown|brand:hospifarma|form:solid-oral,losartan|50mg|30|bio:unknown|brand:hospifarma|form:solid-oral,"losartan potasico 50 mg x30com hospifarma"
RESOLVED_EXACT,losartan,/medicamento/losartan-potasico-50-mg-x-30-comprimidos-opko-3dwgodp8ejy7b,losartan|50mg|30|bio:unknown|brand:opko|form:solid-oral,losartan|50mg|30|bio:unknown|brand:opko|form:solid-oral,"losartan potasico 50 mg x 30 comprimidos opko"
RESOLVED_EXACT,losartan,/medicamento/losartan-potasico-50-mg-x-30-comprimidos-seven-pharma-2k9a134fg3un6,losartan|50mg|30|bio:unknown|brand:sevenpharma|form:solid-oral,losartan|50mg|30|bio:unknown|brand:sevenpharma|form:solid-oral,"losartan potasico 50 mg x 30 comprimidos seven pharma"
RESOLVED_EXACT,losartan,/medicamento/losartan-potasico-50-mg-x30com-mintlab-16mr6o035uljp,losartan|50mg|30|bio:unknown|brand:mintlab|form:solid-oral,losartan|50mg|30|bio:unknown|brand:mintlab|form:solid-oral,"losartan potasico 50 mg x30com mintlab"
RESOLVED_EXACT,losartan,/medicamento/losartan-potasico-50-mg-x-30-comprimidos-1nsv10i9ylrqn,losartan|50mg|30|bio:unknown|brand:chile|form:solid-oral,losartan|50mg|30|bio:unknown|brand:chile|form:solid-oral,"losartan potasico 50 mg x 30 comprimidos"
