query,pharmacies,canonical_name,base_laboratory,brand,brand_source,manufacturer,active_ingredient
ambroxol,3,"Ambroxol 30mg/5ml Jarabe 100ml","","",unknown,"","ambroxol"
ambroxol,1,"Ambroxol 15 mg/5mL Jarabe 100 mL","","",unknown,"","ambroxol"
ambroxol,2,"Tocalm Ambroxol Jarabe Adulto 100 mL (Prater)","","Tocalm",name,"","ambroxol"
ambroxol,2,"Tocalm Infantil 15mg/5ml jarabe 100 ml.","","",unknown,"",""
ambroxol,1,"Muxol Ambroxol 30 mg 20 Comprimidos","","Muxol",name,"","ambroxol"
ambroxol,1,"Mintamox Pediatrico Ambroxol 15 mg/5mL Jarabe 100 mL","","Mintamox",name,"","ambroxol"
ambroxol,1,"Broncot Ambroxol 7,5 mg/mL Gotas 30 mL","","Broncot",name,"","ambroxol"
ambroxol,1,"Muxol Jarabe Pediátrico Ambroxol 300 mg / 100 ml","","Muxol",name,"","ambroxol"
ambroxol,2,"Muxol Jarabe Adulto Ambroxol 600 mg / 100 ml","","Muxol",name,"","ambroxol"
ambroxol,1,"Broncot GFT Pediatrico Ambroxol 15 mg/5mL Jarabe 120 mL","","Broncot",name,"","ambroxol"
ambroxol,1,"Mintamox Adulto Ambroxol 30 mg / 5 mL Jarabe 100 mL","","Mintamox",name,"","ambroxol"
ambroxol,1,"Mucosolvan-Dual Infantil 120Ml","","",unknown,"",""
ambroxol,1,"Tocalm ambroxol 15 mg/5 mL jarabe pediátrico 100 mL","PRATER","Tocalm",name,"Prater","ambroxol"
ambroxol,1,"Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Ascend)","Ascend","",unknown,"Ascend","ambroxol"
ambroxol,1,"Muxol Adulto 30mg/5ml jarabe 100ml","","",unknown,"",""
ambroxol,1,"Muxol (ambroxol) 15mg/5ml Jarabe 100ml","","Muxol",name,"","ambroxol"
ambroxol,1,"Muxol Pediátrico 15mg/5ml jarabe x 100 ml.","","",unknown,"",""
ambroxol,1,"Broncot Forte 30mg/5ml sin azucar 120 ml.","","",unknown,"",""
ambroxol,1,"Broncot 15mg/5ml Jarabe x 120 ml.","","",unknown,"",""
ambroxol,1,"Ambroxol 15mg/5ml jarabe infantil x 100 ml. (Mintlab)","Mintlab","",unknown,"Mintlab","ambroxol"
ambroxol,1,"Ambroxol 30mg/5ml Jarabe Adulto 100 ml. (Mintlab)","Mintlab","",unknown,"Mintlab","ambroxol"
ambroxol,1,"Ambroxol 30mg/5ml Jarabe Adulto x 100 ml. (Hospifarma)","Hospifarma","",unknown,"Hospifarma","ambroxol"
ambroxol,1,"Ambroxol 15mg/5ml jarabe 100ml (Eurofarma)","Eurofarma","",unknown,"Eurofarma","ambroxol"
ambroxol,1,"Ambroxol 30mg/5ml Jarabe Adulto 100ml (Opko)","Opko","",unknown,"Opko","ambroxol"
ambroxol,1,"Ambroxol 30mg/5ml Jarabe Adulto 100ml (Seven Pharma)","Seven Pharma","",unknown,"Seven Pharma","ambroxol"
ambroxol,1,"Ambroxol 30mg/5ml Jarabe Adulto 100ml (Andromaco)","Andrómaco","",unknown,"Andrómaco","ambroxol"
ambroxol,1,"Ambroxol 30mg/5ml jarabe adulto 100 ml. (Ascend)","Ascend","",unknown,"Ascend","ambroxol"
ambroxol,1,"Tocalm Adulto 30mg/5ml jarabe 100 ml.","","",unknown,"",""
ambroxol,1,"Broncot 7,5mg/ml gotas x 30 ml.","","",unknown,"",""
ambroxol,1,"Mintamox Adulto 30mg/5ml jarabe 100ml","Mintlab","",unknown,"Mintlab",""
ambroxol,1,"Mintamox Infantil 15mg/5ml jarabe 100ml","Mintlab","",unknown,"Mintlab",""
ambroxol,1,"Muxol Jarabe adulto Ambroxol 30 mg / 5 mL x 100 mL","EUROLAB","Muxol",name,"Eurolab","ambroxol"
ambroxol,1,"Mintamox 15 mg / 5 mL x 100 mL","MINTLAB","",unknown,"Mintlab",""
ambroxol,1,"Muxol 30 mg x 20 comprimidos","","",unknown,"",""
ambroxol,1,"Muxol Jarabe adulto Ambroxol 30 mg / 5 mL x 100 mL","","Muxol",name,"","ambroxol"
ambroxol,1,"Broncot Forte G.T.F. Jarabe 30 mg / 5 mL x 120 mL","ABBOTT","",unknown,"Abbott",""
ambroxol,1,"Mintamox 15 mg / 5 mL x 100 mL","","",unknown,"",""
ambroxol,1,"Ambroxol clorhidrato 30mg 100ml SEVEN PHARMA DESCUENTO","","",unknown,"","ambroxol"
ambroxol,1,"Ambroxol Clorhidrato infantil 15mg 100 mL (Hospifarma)","","",unknown,"","ambroxol"
ambroxol,1,"Pazbronq Ambroxol Clorhidrato 30 Mg/ 5 Ml Jarabe 100 Ml","","Pazbronq",name,"","ambroxol"
ambroxol,1,"Muxol Jarabe Pedi&aacute;trico Ambroxol Clorhidrato 300 mg 100 ml","","Muxol",name,"","ambroxol"
ambroxol,1,"Tocalm Adulto 30 mg/5 mL x 100 mL Jarabe","","",unknown,"",""
ambroxol,1,"Broncot Fte G.F.T. S/Azu. 30mg/5ml 120ml","","",unknown,"",""
ambroxol,1,"Broncot GFT 15 mg/5 mL x 120 mL Jarabe","","",unknown,"",""
ambroxol,1,"Broncot 7.5 mg/ml Gotas Fco. 30ml","","",unknown,"",""
ambroxol,1,"Tocalm Pediatrico 15 mg/5 mL x 100 mL Jarabe","","",unknown,"",""
ambroxol,1,"Ambroxol Pediatrico 15mg/5...","","",unknown,"","ambroxol"
ambroxol,1,"Amrodil 30 Mg/5ml 100 Ml","","",unknown,"",""
ambroxol,1,"Broncot Gotas 7,5 mg/ml x...","","",unknown,"",""
ambroxol,1,"Broncot Pediatrico GFT...","","",unknown,"",""
ambroxol,1,"Muxol Adulto Jarabe...","","",unknown,"",""
ambroxol,1,"Muxol Pediatrico Jarabe x...","","",unknown,"",""
ambroxol,1,"Ambroxol 30mg/5ml Jarabe 100ml","Ambroxol","",unknown,"","ambroxol"
ambroxol,1,"Muxol Adulto Ambroxol Jarabe 100ml","Muxol","Muxol",structured,"","ambroxol"
ambroxol,1,"Muxol Pediátrico Ambroxol Jarabe 100ml","Muxol Pediatrico","Muxol Pediatrico",structured,"","ambroxol"
ambroxol,1,"Broncot Ambroxol 30mg/5ml 120ml","Broncot","Broncot",structured,"","ambroxol"
ambroxol,1,"Muxol Ambroxol 20 Comprimidos","Muxol","Muxol",structured,"","ambroxol"
ambroxol,1,"Broncot Ambroxol Clorhidrato 7.5mg/ml Gotas 30ml","Broncot","Broncot",structured,"","ambroxol"
paracetamol,2,"Xumadol 1 g 20 Comprimidos","","",unknown,"",""
paracetamol,1,"Paracetamol 100 mg Gotas 15 mL","","",unknown,"","paracetamol"
paracetamol,1,"Tramadol Clorhidrato 100 mg / mL Solución para Gotas Orales 20 mL","","",unknown,"",""
paracetamol,1,"Betacort Cassara Betametasona 0,5 mg / mL Solucion Oral para Gotas 30 mL","","Betacort",name,"","betametasona"
paracetamol,1,"Lirex Tibolona 2,5 mg 30 Comprimidos","","",unknown,"",""
paracetamol,5,"Paracetamol 500 mg. 16 comp.","","",unknown,"","paracetamol"
paracetamol,1,"Salbutamol 0,5% Solución para Nebulización 20 mL","","",unknown,"","salbutamol"
paracetamol,1,"Paracetamol Infantil  80 mg 100 Comprimidos","","",unknown,"","paracetamol"
paracetamol,1,"Sales para Rehidratación 60 Cloruro de Sodio 3,5 gr Polvo para Suspensión Oral 8 Sobres Sabor Fresa","","Sales",name,"","sodio"
paracetamol,1,"Sales para Rehidratación 90 Cloruro de Sodio 3,5 gr Polvo para Suspensión Oral 4 Sobres Sabor Limón","","Sales",name,"","sodio"
paracetamol,1,"Ambroxol 15 mg/5mL Jarabe 100 mL","","",unknown,"","ambroxol"
paracetamol,1,"Paracetamol 125 mg 6 Supositorios","","",unknown,"","paracetamol"
paracetamol,2,"Paracetamol Infantil 80 mg 20 Comprimidos","","",unknown,"","paracetamol"
paracetamol,1,"Brevex Paracetamol 300 mg 20 Comprimidos Recubiertos","","Brevex",name,"","paracetamol"
paracetamol,1,"Ipratropio Bromuro 0,025% Solución para Inhalación 20 mL","","",unknown,"",""
paracetamol,1,"Trelegy Ellipta 92 mcg Polvo Para Inhalacion Oral 30 Dosis","","",unknown,"",""
paracetamol,1,"Uroplus Fosfomicina 3 gr Granulos para Solucion Oral 1 Sobre","","",unknown,"",""
paracetamol,1,"Bonavid Colecalciferol 300.000 UI Solución Oral para Gotas 2 mL","","",unknown,"",""
paracetamol,1,"Combodart 0,5/0,4 Dutasteride 0,5 mg Tamsulosina 0,4 mg 30 Cápsulas Blandas","","",unknown,"",""
paracetamol,1,"Bromhexina 4 mg/5mL Jarabe 100 mL","","",unknown,"",""
